name,age,sex,education_level,marital_status,housing_status,dependents,income,credit_amount,loan_duration,employment_years,default,nationality
Alice Martin,22,0,low,single,rent,0,18000,12000,36,1,1,FR
Jean Dupont,45,1,high,married,own,2,52000,8000,24,15,0,FR
Claire Bernard,31,0,medium,single,rent,0,29000,15000,48,4,0,EU
Michel Durand,54,1,high,married,own,3,68000,10000,12,30,0,FR
Sophie Leroy,27,0,medium,single,rent,0,24000,18000,60,3,1,FR
Paul Moreau,39,1,high,married,own,2,45000,14000,36,12,0,EU
Robert Simon,61,1,high,married,own,3,72000,9000,18,35,0,FR
Julie Laurent,34,0,medium,divorced,rent,1,32000,20000,48,6,0,non-EU
Thomas Lefevre,29,1,medium,single,rent,0,36000,11000,24,5,1,FR
Nicolas Girard,48,1,high,married,own,2,59000,13000,36,20,0,EU
Emma Fontaine,23,0,low,single,rent,0,21000,16000,60,2,1,FR
David Rousseau,41,1,medium,married,own,2,48000,12000,24,14,0,FR
Laura Petit,36,0,medium,married,rent,1,30000,17000,48,8,1,EU
Patrick Garnier,57,1,high,married,own,3,70000,10000,12,32,0,FR
Camille Fabre,26,0,low,single,rent,0,25000,19000,60,4,1,non-EU
Olivier Chevalier,44,1,high,married,own,2,53000,9000,24,18,1,FR
Marion Lopez,33,0,medium,single,rent,0,31000,15000,36,7,1,EU
Christophe Andre,50,1,high,married,own,2,62000,11000,18,25,1,FR
Lucie Perez,28,0,medium,single,rent,0,27000,18000,48,5,0,non-EU
Sebastien Nguyen,46,1,high,married,own,2,56000,14000,36,22,0,EU
Anais Dubois,24,0,low,single,rent,0,20000,16000,60,1,1,FR
Julien Meunier,38,1,medium,married,own,1,47000,13000,36,11,1,FR
Franck Henry,55,1,high,married,own,3,69000,9000,12,30,0,FR
Elise Renaud,32,0,medium,married,rent,1,33000,17000,48,9,0,EU
Manon Rolland,29,0,medium,single,rent,0,26000,20000,60,6,1,non-EU
Laurent Cousin,43,1,high,married,own,2,51000,12000,24,17,1,FR
Aurelie Millet,35,0,medium,married,rent,1,34000,16000,36,10,1,EU
Bernard Colin,60,1,high,married,own,3,73000,8000,12,38,1,FR
Chloe Perrot,27,0,low,single,rent,0,23000,19000,60,3,1,FR
Eric Lemoine,49,1,high,married,own,2,60000,10000,18,23,0,EU
